,location,city,country,utc,weekday,local,parameter,value,unit,latitude,longitude,attribution
38,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T16:00:00Z,2,2020-06-15T21:30:00+05:30,o3,16.46,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
39,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T15:00:00Z,2,2020-06-15T20:30:00+05:30,o3,16.62,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
40,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T06:00:00Z,2,2020-06-15T11:30:00+05:30,o3,29.3,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
41,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T04:30:00Z,2,2020-06-15T10:00:00+05:30,o3,25.44,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
42,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T03:45:00Z,2,2020-06-15T09:15:00+05:30,o3,22.09,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
43,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T02:30:00Z,2,2020-06-15T08:00:00+05:30,o3,12.68,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
44,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T01:45:00Z,2,2020-06-15T07:15:00+05:30,o3,17.7,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
45,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T00:45:00Z,2,2020-06-15T06:15:00+05:30,o3,16.48,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
46,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-15T00:00:00Z,2,2020-06-15T05:30:00+05:30,o3,16.72,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
47,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-14T23:30:00Z,2,2020-06-15T05:00:00+05:30,o3,14.35,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
48,"Silk Board, Bengaluru - KSPCB",Bengaluru,IN,2020-06-14T19:00:00Z,2,2020-06-15T00:30:00+05:30,o3,15.35,µg/m³,12.917348,77.622813,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
